clean_text_fin,setiment
accord gran company plan move production russia although company grow,1
technopolis plan develop stage area less square meter order host company work computer technology telecommunications statement say,1
international electronic industry company elcoteq laid ten employee tallinn facility contrary earlier layoff company contract rank office worker daily postimees report,0
new production plant company would increase capacity meet expect increase demand would improve use raw material therefore increase production profitability,2
accord company update strategy year basware target long term net sale growth range operating profit margin net sale,2
finance aspocomp growth aspocomp aggressively pursue growth strategy increasingly focus technologically demand hdi print circuit board pcbs,2
last quarter componenta net sale double eur eur period year earlier move zero pre tax profit pre tax loss eur,2
third quarter net sale increase eur mn operating profit eur mn,2
operating profit rise eur mn eur mn correspond period represent net sale,2
operating profit total eur mn eur mn represent net sale,2
teliasonera tlsn say offer line strategy increase ownership core business holding would strengthen eesti telekom offering customer,2
stora enso norske skog real upm kymmene credit suisse first boston cfsb raise fair value share four large nordic forestry group,2
purchase agreement ton gasoline delivery hamina terminal finland sign neste oil oyj average platts index september plus eight u dollar per month,2
finnish talentum report operate profit increase eur mn eur mn net sale total eur mn eur mn,2
clothe retail chain sepp æl æ sale increase eur mn operating profit rise eur mn eur mn,2
consolidated net sale increase reach eur operating profit amount eur compare loss eur prior year period,2
foundry division report sale increase eur mn eur mn correspond period sale machine shop division increase eur mn eur mn correspond period,2
helsinki afx share close high lead nokia announce plan team sanyo manufacture g handset nokian tyre fourth quarter earnings report beat analyst expectation dealer say,2
incap contract manufacturing service pvt ltd subsidiary incap corporation finland plan double revenue,2
board director propose dividend eur per share eur per share pay,2
lifetree found revenue rise average margin late,2
filippova trilateral agreement investment construction technology park st petersburg sign course forum day russian economy open helsinki today,2
megafon subscriber base increase million user december market share number customer amount late late accord teliasonera estimate,2
net income life insurance double eur mn eur mn net income non life insurance rise eur mn eur mn correspond period,2
net sale increase eur eur pretax profit rise eur eur usd,2
net sale surge eur teleste say eur sale come acquisition make,2
nordea group operate profit increase percent year year billion euro total revenue percent billion euro,2
operating profit nine month period increase eur net sale increase eur compare corresponding period,2
operating profit nine month period increase eur net sale increase eur compare corresponding period,2
operating profit three month period increase eur revenue increase eur compare corresponding period,2
brazilian unit finnish security solution provider f secure sign new client last year online news source reseller web quote division commercial director vladimir brand say,2
company net profit rise year million euro sale million euros year company say early,2
lithuanian beer market make million liter january rise percent year earlier figure lithuanian brewer association report cite result member,2
viking line cargo revenue increase eur mn cargo volume increase cargo unit,2
fair value property portfolio double result kapiteeli acquisition total eur million,2
february finnish medium company sanoma oyj hel saa v say yesterday net profit almost triple eur eur announce proposal raise payout,2
helsinki eliiv today report eps eur increase eps eur,2
aspo plc stock exchange release february esl ship ltd part aspo group sign new long term contract rautaruukki corporation marine transport raw material baltic sea,2
commission income increase eur mn lending volume rise,2
january traffic measure revenue passenger kilometres rpk go capacity measure available seat kilometre ask rise,2
january september fiskars net profit go year year eur million net sale eur million eur million,2
net income life insurance rise eur mn eur mn net income non life insurance eur mn eur mn,2
nyrstar also agree supply talvivaara tonne sulphuric acid per annum use talvivaara leach process period supply zinc concentrate,2
sale department store division hobby hall increase sale clothe store subsidiary seppala decrease,2
sale rise export market,2
sale increase due grow market rate increase operation,2
agreement strengthen long term partnership nokia siemens network,2
agreement sign biohit healthcare ltd uk base subsidiary biohit oyj finnish public company develop manufacture market liquid handle product diagnostic test system,2
company also estimate already carry investment lead increase net sale reach eur million,2
company order book stand bln euro bln september pct year international order amount mln euro mln,2
company say paper demand increase main market include publication paper increase average paper price percent compare last year,2
world second large stainless steel maker say net profit three month period dec surge euro million u million euro u per share euro million euro per share previous year,2
within framework partnership nokia siemens network sign initial framework purchase agreement sitronics subsidiary jsc mikron large manufacturer exporter microelectronic component russia,2
seppala revenue increase eur finland revenue go eur sale abroad rise eur sale increase baltic country well russia ukraine,2
share standard charter stan rise ftse royal bank scotland rbs share rise barclays share barc bcs,2
share nokia corp rise thursday cell phone maker say third quarter earnings almost double share global handset market increase,2
financial report publish friday seb say net profit soar sek bn year earlier sek bn propose dividend increase sek per share,2
sale department store division increase sale clothe store subsidiary seppala increase meanwhile sale hobby hall decrease,2
request finnish medium company alma medium newspaper research manager jari kaivo oja finland future research centre turku school economics draw future scenario finland national economy use model develop university denver,1
sweden gallerix accumulate sek denominate sale eur denominate sale,1
company support global customer develop new technology offer fast route product development application volume production,1
investment place atrium plan expand moscow market,1
new agreement continuation theagreement sign earlier year lemminkainen group whereby cramo acquire entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo sign asimilar agreement say tatu hauhio manage director ofcramo finland,1
first contract envisage construction three ferryboat option two unit confirm total value mln euro mln,2
june sell percent stake nordstjernan investment group take option acquire eqt remain share,1
kesko corporation stock exchange release kesko corporation aspo plc today sign agreement aspo acquire share capital kauko telko ltd subsidiary wholly own kesko,2
sponda plc stock exchange release december eur billion syndicate credit facility sponda sponda sign agreement one year syndicate credit facility total eur billion,2
stock exchange announcement july basware share subscription warrant increase share capital total share subscribe basware warrant program,1
contract cover hdo platform ac cxe optical fttb node design increase forward return path capacity transmission network,2
new plant plan electricity generation capacity megawatts mw heat generation capacity,1
omx helsinki index pct helsinki cap portfolio index pct high,2
sale growth car considerably influence tire market,1
maximum new share subscribe exercise b option stock option plan,1
result share issue number company share increase share share capital total eur,1
finnish real estate investor sponda plc say wednesday march sign agreement danske bank helsinki branch year eur credit facility ilmarinen mutual pension insurance company year eur credit facility,1
route helsinki finland tallinn estonia cargo volume increase cargo volume finland sweden fell,1
measure include increase synergy economy scale within grimaldi group personnel adjustments divestments redelivery excess tonnage,1
rinkuskiai raise sale percent million liter sale kauno alus grow percent liter,2
telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc say friday april sign agreement selling share morning digital design oy edita oyj,1
telecomworldwire april tj group plc sell stake morning digital design oy finnish company tj group plc say friday april sign agreement selling share morning digital design oy edita oyj,2
new series share become subject trading helsinki stock exchange main list together old series share july,1
fuel purchase contract sign three month delivery september november,1
tiimari operate store six country include core finnish market generate turnover mln eur,1
agreement biohit become focus supplier pipettors disposable pipettor tip vwr customer throughout europe,2
combination service enable u offer complex strengthen service chain limit baltic port connection also get access world wide grimaldi network mediterranean africa north america say uwe bakosch,2
blind spot come vantage point allow investigator see whole story high resolution unbroken video,1
company still expect turnover slightly increase level add market predictability still poor trustworthy forecast market development contract manufacture business current year,2
acquisition considerably increase kemira sale market position russian metal industry coating market,2
january september finnlines net sale rise eur mn eur mn correspond period,2
adjust change group structure division net sale increase,2
change optimize operational efficiency grow business say julia prohaska director marketing communication fiskars,2
would invest physical infrastructure would also provide know manage develop science technology park say sunrise valley director andrius bagdonas,2
february finnish broadband data communication system provider teleste oyj hel tlt v saw net profit jump eur last quarter eur period,2
finnish aktia group operating profit rise eur mn first quarter eur mn first quarter,2
finnish bank land consolidated net operating profit increase eur mn first quarter eur mn first quarter,2
finnish financial group aktia report operating profit eur mn january september eur mn correspond period,2
finnish high technology provider vaahto group report net sale eur mn accounting period september february increase year earlier,2
net sale finnish food industry company l ænnen tehtaat continue operation increase eur mn eur mn,2
individual promotion also generate slightly high expect revenue,2
biohit already service many current genesis customer customer base expect expand result agreement,2
operating profit turnover three month period increase respectively eur eur compare corresponding period,2
circulation revenue increase finland sweden,2
clothing chain sepp æl æ net sale increase eur mn,2
construction volume meanwhile grow rate percent annually,2
finnish swedish construction market still experience estimate annual growth,2
however biohit estimate total net sale continue grow favourable trend net sale lead profit,2
fiskars cash flow operate activity amount eur eur previous year,2
lithuania operating profit rise eur eur corresponding period,2
fourth quarter net sale increase eur mn eur mn fourth quarter,2
international sale rise eur mn,2
kalmar espana generate net sale mln euro mln,1
net sale grow period x ac million u million x ac million,2
net sale increase eur april june eur year earlier,2
net sale rise year year eur number charger deliver go million piece,2
net sale total eur mn eur mn corresponding period,2
nokia also note average selling price handset decline period though mobile phone profit margin rise percent percent year ago quarter,2
operating profit increase eur mn eur mn,2
operating profit margin increase,2
operating profit rise eur mn eur mn correspond period,2
operating profit rise eur mn eur mn fourth quarter,2
operating profit eur mn eur mn,2
ramirent net sale second quarterended june euro million u million percent increase compare euro million thesecond quarter last year,2
revenue grow percent x ac million million x ac million,2
ruukki announce signed agreement aker solution norway supply suction anchor september kalajoki unit finland,2
ruukki delivery volume sell price show favourable development company comparable net sale grow year year eur ceo sakari tamminen say,2
sanoma magazine net sale estimate grow,2
bank forecast finland gdp grow,2
circuit overall production rate weekly basis excess average tonne per day volume excess tonne per day reach individual day,2
company consolidate operating profit amount eur mn eur mn year year,2
department store division report increase sale per cent,2
fair value company investment property grow eur billion end march eur million year ago,2
last quarter best quarter net sale operate margin rise,2
major brewery increase domestic beer sale per cent last year million litres million litre,2
transaction double tecnomens workforse add fourth net sale,2
operating profit rise eur million,2
purchase cramo become second large rental service provider latvian market,2
priority strengthen company balance sheet increase cash flow ceo hannu krook say,2
purchase operation part yit strategy expand offer building system service geographically,2
october finnish fishing tackle company rapala vmc corp hel rap v say today net profit rise eur first nine month eur period year earlier,2
structure bim build information modeling software tekla model base software provider adopt construction management delivery university project abu dhabi,1
accord finnish metso mineral value company order go eur bn month,2
finnish aldata solution sign contract supply g l system two french retail chain,2
finnish bank land report operating profit rise eur mn second quarter eur mn corresponding period,2
finnish financial group aktia operate profit increase eur mn eur mn,2
finnish forest machinery manufacturer ponsse net sale grow eur mn first quarter eur mn corresponding period,2
finnish kci konecranes raise net sale growth estimate,2
finnish okmetic manufacture process silicon wafer semiconductor sensor industry norwegian solar wafer company norsun sign contract okmetic supply norsun mono silicon crystal use solar cell manufacturing,2
finnish pharmaceutical company orion net sale rise eur mn first quarter eur mn first quarter,2
finnish ponsse sign agreement babcock africa distribution support ponsse forest machine harvester head information system south africa,2
south african sappi become large foreign forest industry company operate finland result acquisition finnish real corporation graphic paper business unit,2
accord deputy md pekka silvennoinen aim double turnover next three year,2
accord hkscan finland plan increase j ærvi suomen portti net sale eur mn eur mn,2
advertising circulation revenue grow respectively,2
takeover cramo become second large rental service provider latvian market,2
significant sale increase russia,2
alma medium expect net sale increase forecast previously,2
also lemmink æinen profit accounting period go eur mn eur mn year ago,2
end march group order book eur mn correspond period,2
time profit company increase h reach l,2
aviation system maintenance base kansa generate net sale usd million,1
besides increase share meat various sausage offer number new taste grill product shish kebab segment paavel say,2
operating profit net sale month period increase respectively eur eur compare financial year,2
operating profit net sale month period increase respectively eur eur compare financial year,2
operating profit net sale month period increase respectively eur eur compare,2
operating profit net sale month period increase respectively eur eur compare,2
operating profit net sale nine month period increase respectively compare corresponding period,2
operating profit net sale six month period increase respectively eur eur compare corresponding period,2
