airline_sentiment,clean_text_a
1,161011077214639258871077224121585914821168031463910772101435859 1317346821680318036770713531463924121 628585911275 
2,161011077214639258871077224121585914821168031463910772101435859 1803661751353628 585913173131731680313173 10143741014821148211680314639101431077258596175 16803210561803616803146391077216803241211014316803 139785859101432484811275 
1,161011077214639258871077224121585914821168031463910772101435859 13978741013173585911275 14821135362813978 1482116803585924121 24121168031680313173 1397858592484816803 58592412174101397846821680314639 13978146391077218036 
0,161011077214639258871077224121585914821168031463910772101435859 146391680358596175617511275 585925887258871463916803628628107721610116803 77076175585962813978 74107707241217410210561077274101353628 1680324121139781680314639139785859107722412114821168032412113978 2588713531680362813978 2103958591014316803 58591482118036 6175107721397813978617516803 146391680310143741013531463962816803 
0,161011077214639258871077224121585914821168031463910772101435859 146391680358596175617511275 77071077225887 7707585913173 139784682107722412125887 
0,161011077214639258871077224121585914821168031463910772101435859 62816803146391077274101353628617511275 488674101353617513173 18036585911275 2103961751077225887468213978 62816803585913978 180366175585911275 146391680358596175617511275 7707585913173 139784682107722412125887 21039617511275 161015859 
2,161011077214639258871077224121585914821168031463910772101435859 1127516803628 2412116803585914639617511275 1680316101168031463911275 13978107721482116803 21039617511275 1610121056 16803585914639 488674101463914821 488674102412113978 258877410 58594886585911275 
1,161011077214639258871077224121585914821168031463910772101435859 146391680358596175617511275 1482110772628628 1803614639107721482116803 7410180361803674101463913978135324121107721397811275 148211680324121 4886107721397846827410135313978 4682585913978 1803658591463974101317311275 4682139781397818036628 101437410 1482148861803625887 258871463916803222018036 
2,161011077214639258871077224121585914821168031463910772101435859 48861680361756175 139787707135313978 
2,161011077214639258871077224121585914821168031463910772101435859 5859148215859222016803 58591463914639107721610116803 46827410135314639 16803585914639617511275 258877410741013173 
1,161011077214639258871077224121585914821168031463910772101435859 248482412174104886 62813531077210143107721317316803 628168031014374102412113173 617516803585913173 101435859135362816803 13173168035859139784682 58591482174102412125887 13978168031680324121 
2,161011077214639258871077224121585914821168031463910772101435859 617513978 180361463916803139781397811275 258871463958591803646821077210143 148211353101434682 258877410741013173 148211077224121107721482158596175 107721014374102412174102588714639585918036468211275 
2,161011077214639258871077224121585914821168031463910772101435859 258871463916803585913978 131731680358596175 58596175146391680358591317311275 139784682107722412124848 2412113173 13978146391077218036 58591353628139781463958596175107725859 58591482118036 16803161011680324121 258877410 62813978 13978146391077218036 112751680313978 18036 
2,161011077214639258871077224121585914821168031463910772101435859 161011077214639258871077224121148211680313173107725859 21039617511275 21039585977071353617574101353628 628168031317313531014313978107721610116803 6282484811275 1353 1397858592484816803 628139781463916803628628 58594886585911275 1397814639585916101168036175 4682139781397818036 101437410 585946826175210564682468224848107721127524121 
2,161011077214639258871077224121585914821168031463910772101435859 13978468258592412124848628 
0,161011077214639258871077224121585914821168031463910772101435859 628210397410 180361317321056 62810143468216803131731353617516803 628139781077261756175 14821107725859 
2,161011077214639258871077224121585914821168031463910772101435859 168032105610143107721397816803 21039107721463962813978 10143146397410628628 101437410135324121139781463911275 2103961751077225887468213978 6175585921056 14821101437410 46821680358591463913173 241217410139784682107722412125887 258871463916803585913978 139784682107722412125887 161011077214639258871077224121 585914821168031463910772101435859 13173585911275628139787410258877410 
0,161011077214639258871077224121585914821168031463910772101435859 21039617511275 241211127510143 628210397410 6175585962813978 4886168031680324848 2103913536175617511275 6281077213978 62816803585913978 13173135316803 1397848867410 61755859146392588716803 2588716803241211397861751680314821585924121 16803107721397846821680314639 628107721317316803 468216803617518036 
2,21039617511275 161011077214639258871077224121585914821168031463910772101435859 
2,161011077214639258871077224121585914821168031463910772101435859 248482412174104886 488674101353617513173 58591482158592220107722412125887617511275 585948861680362874101482116803 77077410628 2103961756175 18036617516803585962816803 488658592412113978 21039617511275 
0,161011077214639258871077224121585914821168031463910772101435859 21039107721463962813978 2103958591463916803 14821585911275 139784682146391680316803 13978107721482116803 1014358591463914639107721680314639 62816803585913978 585916101585910772617558597707617516803 628168036175168031014313978 
2,161011077214639258871077224121585914821168031463910772101435859 617574101610116803 258871463958591803646821077210143 4682139781397818036 101437410 135313978 2588714639146394886585958595859 
2,161011077214639258871077224121585914821168031463910772101435859 617574101610116803 46821077218036628139781680314639 10772241212412174101610158591397810772741024121 2103916803168036175 258877410741013173 77071463958592412113173 
1,161011077214639258871077224121585914821168031463910772101435859 1482158592484816803 77077410628 2588713978 61755859 24121741024121 62813978741018036 18036168031463914821585924121168032412113978617511275 5859241211127513978107721482116803 6287410741024121 
0,161011077214639258871077224121585914821168031463910772101435859 25887135311275 1482116803628628 62816803585913978 146391680362816803146391610116803 62816803585913978107722412125887 210391463910772168032412113173 25887135311275 25887107721610116803 62816803585913978 58594886585911275 488658592412113978 21039146391680316803 1077224121139781680314639241211680313978 
0,161011077214639258871077224121585914821168031463910772101435859 628139785859139781353628 14821585913978101434682 180361463974102588714639585914821 58591803618036617511275 139784682146391680316803 4886168031680324848 10143585961756175 16803148215859107726175 14639168036281803674102412162816803 
