Sentiment,clean_text_fn
2,258871680374106287410617513531397810772741024121628 1397816803101434682241217410617574102588711275 61751680316101168031463958592588716803 770716803241211680321039741024121 2588718036628 6287410617513531397810772741024121 1803614639741016101107721317316803 617574101014358591397810772741024121 7707585962816803 62816803585914639101434682 1397816803101434682241217410617574102588711275 1014374101482114821135324121107721397811275 1803661755859139782103974101463914821 617574101014358591397810772741024121 14639168036175168031610158592412113978 14821135361751397810772148211680313173107725859 1014374102412113978168032412113978 24121168034886 180367410488616803146392103913536175 10143741014821148211680314639101431077258596175 14821741013173168036175 
0,1680362810772 617574104886 770724848 146391680358596175 180367410628628107727707107726175107721397811275 
2,6175585962813978 26631353585914639139781680314639 10143741014821180367410241211680324121139785859 241211680313978 6285859617516803 13173741013537707617516803 16803135314639 16803135314639 18036168031463910772741013173 1127516803585914639 168035859146396175107721680314639 1482174101610116803 222016803146397410 180361463916803 13978585921056 18036146397410210391077213978 180361463916803 13978585921056 61757410628628 16803135314639 
1,5859101431014374101463913173 21039107722412124121107726284682 14639135362862810772585924121 10143468258591482177071680314639 101437410148211482116803146391014316803 14821585917492741014639 1014374102412162813978146391353101431397810772741024121 101437410148211803658592412111275 210391077224121617558592412113173 741018036168031463958591397816803 146391353628628107725859 
1,62848861680313173107726284682 77071353112757410135313978 21039107721463914821 6281680361756175 14639168031482158591077224121 18036168031463910143168032412113978 6281397858592484816803 5859617514821741062813978 168031077225887468213978168031680324121 14821741024121139784682 1397858592484816803 101437410148211803658592412111275 180361353770761751077210143 210391077224121617558592412113173 
2,6281803611275 62813531463918036146391077262816803 6281680316803 2588714639168031680324121 101436175741062816803 
0,62846821680361756175 7707107726175617510772741024121 770725887 131731680358596175 14821168031680313978 628468258591463916803468274106175131731680314639 6282484816803180361397810772101431077262814821 
0,6286284682 1014374101482114821135324121107721014358591397810772741024121 6281680310143135314639107721397811275 1014374101463918036 6281397874101014324848 16803210561014346825859241212588716803 1463916803617516803585962816803 74101014313978741077071680314639 1803614821 101437410148211803658592412111275 1353180361317358591397816803 21039135361756175 1127516803585914639 741013531397861757410741024848 1680362813978107721482158591397816803 14639168036281353617513978 14639168031482158591077224121 61757410628628 21039135361756175 1127516803585914639 
2,2484874102412116803 241211680313978 6285859617516803 146391077262816803 1127516803585914639 1127516803585914639 21039107721463962813978 24121107722412116803 14821741024121139784682 
1,62813978741010143248481482158592412124121 1317316803180365859146391397814821168032412113978 6281397874101463916803 1397874101397858596175 2103961757410741014639 6281803658591014316803 6282663135358591463916803 1482116803139781463916803628 62813978741010143248481482158592412124121 107722412116101168036281397814821168032412113978 1803614639741017492168031014313978 1803614639107721014316803 13978585925887 16803135314639 14821107726175617510772741024121 
2,101431077214639101431353617558591397810772741024121 1463916803161011680324121135316803 1077224121101431463916803585962816803 210391077224121617558592412113173 628488616803131731680324121 
0,628585918036 2663 1317310772628585918036180367410107722412113978628 62874102103913978488658591463916803 61751077210143168032412162816803 146391680358596175 18036146397410770761751680314821 1014361757410135313173 258871463974104886139784682 13978146395859107726175 148216282103913978 741014639101436175 258877410741025887 101431463914821 585913173770716803 4682139781397818036 101437410 1749224121131731803646826175617522202663 
2,628135377071317310772161011077262810772741024121 1482158592484816803 6285859617516803 1463916803161011680324121135316803 6175585962813978 1127516803585914639 16803135314639 14821107726175617510772741024121 16803135314639 14821107726175617510772741024121 741018036168031463958591397816803 18036146397410210391077213978 16803135314639 14821107726175617510772741024121 16803135314639 14821107726175617510772741024121 
1,161011077224848107722412125887 6175107722412116803 1014358592412110143168036175 628168031463916101107721014316803 
1,5859468261756281397814639741014821 101437410146391803674101463958591397810772741024121 6281397874101014324848 16803210561014346825859241212588716803 585924121241217410135324121101431680314821168032412113978 1397874101397858596175 24121168034886 628468258591463916803 5859468261756281397814639741014821 101437410146391803674101463958591397810772741024121 62813537707628101431463910772770716803 7410180361397810772741024121 146391077225887468213978 101437410148211803658592412111275 6281397874101014324848 7410180361397810772741024121 180361463974102588714639585914821 1077210772 
2,210397707 258877410 2588714639168031680324121 13173585911275 
2,148216282103913978 62826636175 6281680314639161011680314639 1463916803161011680324121135316803 258871463974104886 13173741013537707617516803 1317310772258871077213978 62826636175 6281680314639161011680314639 1803614639168031482110772135314821 1463916803161011680324121135316803 258871463974104886 4682139781397818036 6281397824848628 101437410 1077214639 21039 
1,5859101431014374101463913173 6175 2191724121241211680324121 13978168034682139785859585913978 10143168037410 148215859139781397810772 24848585914639180361803610772241211680324121 101437410148211803658592412111275 58591077214821 1317316803617510772161011680314639 21039107726284682 180361463974101317313531014313978 101431353628139787410148211680314639 13173585911275 168035859146396175107721680314639 1014313531463914639168032412113978617511275 
1,101437410148211803658592412111275 628468258591463916803 2663135374101397816803 2412158596281317358592663 74101482121056 468216803617562810772241212484810772 14639585913531397858591463913531353248482484810772 74101127517492 14639139781463924848628 
1,16803617510143741013978168032663 62816803 61751077262813978 2412158596281317358592663 74101482121056 468216803617562810772241212484810772 61751397813173 
