labels,clean_text_g
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 24848 1463924848146391127525887112751127524121 7410180361680324121585910772 
2,139781463911275 139785859617524848 101434682585913978258871803613978 24121168034886 585910772 62811275628139781680314821 74101803613978107721482110772222016803 131731077258596175741025887135316803 21039168031680313173770758591014324848 468216803617518036 1353 1077214821180361463974101610116803 4682139781397818036 101437410 62846821317314821 25887 2484814639 
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 2588761751680377071482174102484824121 4886 585910772 14821585910143468210772241211680361751680358591463924121107722412125887 131735859139785859628101431077216803241211014316803 585914639139781077221039107721014310772585961751077224121139781680361756175107722588716803241211014316803 24121 241211397814639168032412113173107722412125887 585910772 148216175 585914639139781077210143617516803 1077213173168032412113978107722103911275 58591482118036 13173107722588716803628139781680313173 16101107725859 2588714639585924121741061755859 148215859101434682107722412116803 1317314639107721610116803 14639628628 7707741013978 146395859148216281680311275 168036175770758596284682168031680314639 4682139781397818036 101437410 14639180361463914821585921056135318036 
2,139784682146391077261756175 628468258591463916803 101434682585913978258871803613978 24121168034886 14821741013173168036175 74101803613978107721482110772222016803 131731077258596175741025887 180361353770761751077210143 21039146391680316803 5859101431014316803628628107727707617516803 168031610116803146391127574102412116803 4682139781397818036 101437410 131731127516101139784682168031014311275770713173 4682139781397818036 101437410 13173131734682222046822663468210143770721056 4682139781397818036 101437410 6175 266313978617513531463916803 
0,14821107722412113531397816803 5859258877410 7410180361680324121585910772 1463916803617516803585962816803 24121168034886 101434682585913978258871803613978 24121 2412158592412113173 135362816803 146391077225887468213978 4682139781397818036 101437410 1610111275180362588718036241214886 4682139781397818036 101437410 1014362824121 4682 4682 
2,61755859135324121101434682 101434682585913978258871803613978 24121168034886 585910772 62811275628139781680314821 74101803613978107721482110772222016803 131731077258596175741025887135316803 4682139781397818036 101437410 58591463921056 2103921039617516803 24121 24121139781463911275 4682139781397818036628 101437410 1127514821 2588718036 77075859 
0,14821107722412113531397816803 5859258877410 7410180361680324121585910772 1463916803617516803585962816803 24121168034886 101434682585913978258871803613978 24121 2412158592412113173 135362816803 146391077225887468213978 24121 241214682139781397818036628 101437410 248481353101432412148861127546822663 7707 24121 24121 4682139781397818036 101437410 248481014316803 21056 1127525887 4682139781397818036628 101437410 1014362824121 4682 4682 
2,101434682585913978258871803613978 1014374101482116803 628139781463974102412125887 146391680321039135362816803 468216803617518036 628139785859617524848 6287410148211680374102412116803 585925887146391680316803 1803614639741016101107721317316803 6287410148211680374102412116803 488658596175131737410 4682139781397818036628 101437410 10143161011077217492168031463977074886 
2,18036168032412158596175 13173168031803661757410112751680313173 139784682107722412125887 468216803617518036 7707135310772617513173 6175585962813978 101437410135318036617516803 14821741024121139784682 1014346825859139787707741013978 7707585962816803 258871803613978 146391680358596175617511275 16803210561014310772139781680313173 628468258591463916803 161016175 241214682139781397818036628 101437410 222018036 4682241211077213532105677071353 241214682139781397818036628 101437410 2412110772628174926175488646827410148214886 
1,146391680362816803585914639101434682 1803614639168031610110772168034886 24121168034886 14821741013173168036175 101434682585913978258871803613978 24121 24121488616803 139781463911275 62874101482116803139784682107722412125887 24121168034886 1803614639168031610110772168034886 21039146391680316803 10772148211482116803131731077258591397816803617511275 585916101585910772617558597707617516803 168031610116803146391127574102412116803 48865859107721397861751077262813978 4682139781397818036 101437410 146391317313978 26632412122201463913173 
0,25887741013173 1317358591482124121 7410180361680324121585910772 62813978741018036 5859241212412174101353241211014316803 139784682107722412125887 7707135362811275 4682139781397818036628 101437410 21039 2105613173 21039585921039 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 241216175 4682139781397818036 101437410 1317318036 6175 13531463910772 2412110143 4682139781397818036 101437410 4886148212663258872412162817492 1749218036 
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 2588761751680377071482174102484824121 4886 585910772 14821585910143468210772241211680361751680358591463924121107722412125887 131735859139785859628101431077216803241211014316803 585914639139781077221039107721014310772585961751077224121139781680361756175107722588716803241211014316803 24121 241211397814639168032412113173107722412125887 585910772 148216175 585914639139781077210143617516803 1077213173168032412113978107722103911275 58591482118036 13173107722588716803628139781680313173 16101107725859 2588714639585924121741061755859 148215859101434682107722412116803 1317314639107721610116803 14639628628 7707741013978 146395859148216281680311275 168036175770758596284682168031680314639 4682139781397818036 101437410 139781077222201127574102105625887101432412114639 
1,7410180361680324121585910772 5859241212412174101353241211014316803 101434682585913978258871803613978 14821741013173168036175 74101803613978107721482110772222016803 131731077258596175741025887135316803 4682139781397818036 101437410 21039 2103948862484861751749216803 
